RSPTIME,LASER,ANIMALID,GENOTYPE
6.15999999999997,inhibition,CL3,OptoD1Halo
14.3050000000001,inhibition,CL3,OptoD1Halo
6.25999999999999,inhibition,CL3,OptoD1Halo
12.665,inhibition,CL3,OptoD1Halo
14.7649999999999,inhibition,CL3,OptoD1Halo
13.4200000000001,inhibition,CL3,OptoD1Halo
13.96,inhibition,CL3,OptoD1Halo
11.4000000000005,inhibition,CL3,OptoD1Halo
15.1199999999999,inhibition,CL3,OptoD1Halo
6.59999999999945,inhibition,CL3,OptoD1Halo
12.2049999999999,inhibition,CL3,OptoD1Halo
13.9649999999999,ctrl,CL3,OptoD1Halo
12.6200000000003,ctrl,CL3,OptoD1Halo
12.8699999999999,ctrl,CL3,OptoD1Halo
12.3050000000003,ctrl,CL3,OptoD1Halo
10.2699999999995,ctrl,CL3,OptoD1Halo
8.05000000000018,ctrl,CL3,OptoD1Halo
14.9349999999995,ctrl,CL3,OptoD1Halo
6.77999999999975,ctrl,CL3,OptoD1Halo
4.08,ctrl,CL3,OptoD1Halo
9.30500000000001,ctrl,CL3,OptoD1Halo
6.81999999999994,ctrl,CL3,OptoD1Halo
9.52999999999975,ctrl,CL3,OptoD1Halo
5.39999999999964,ctrl,CL3,OptoD1Halo
11.9300000000001,inhibition,CL6,OptoD1Halo
9.40499999999997,inhibition,CL6,OptoD1Halo
14.12,inhibition,CL6,OptoD1Halo
10.59,inhibition,CL6,OptoD1Halo
9.22499999999991,inhibition,CL6,OptoD1Halo
10.8600000000001,inhibition,CL6,OptoD1Halo
8.93499999999995,inhibition,CL6,OptoD1Halo
14.3049999999998,inhibition,CL6,OptoD1Halo
7.2199999999998,inhibition,CL6,OptoD1Halo
16.6599999999999,inhibition,CL6,OptoD1Halo
7.96500000000015,inhibition,CL6,OptoD1Halo
14.39,inhibition,CL6,OptoD1Halo
11.345,inhibition,CL6,OptoD1Halo
13.4949999999999,inhibition,CL6,OptoD1Halo
14.8599999999999,inhibition,CL6,OptoD1Halo
14.72,inhibition,CL6,OptoD1Halo
11.6849999999999,inhibition,CL6,OptoD1Halo
8.71000000000004,inhibition,CL6,OptoD1Halo
13.23,inhibition,CL6,OptoD1Halo
6.70499999999993,inhibition,CL6,OptoD1Halo
7.44999999999982,inhibition,CL6,OptoD1Halo
15.3800000000001,inhibition,CL6,OptoD1Halo
7.61499999999978,inhibition,CL6,OptoD1Halo
9.14000000000033,inhibition,CL6,OptoD1Halo
14.475,inhibition,CL6,OptoD1Halo
7.68000000000006,inhibition,CL6,OptoD1Halo
9.22500000000002,inhibition,CL6,OptoD1Halo
11.085,inhibition,CL6,OptoD1Halo
13.915,inhibition,CL6,OptoD1Halo
7.92000000000007,inhibition,CL6,OptoD1Halo
13.1999999999998,inhibition,CL6,OptoD1Halo
11.4099999999999,inhibition,CL6,OptoD1Halo
12.145,inhibition,CL6,OptoD1Halo
6.08499999999958,inhibition,CL6,OptoD1Halo
9.74500000000035,inhibition,CL6,OptoD1Halo
9.52999999999997,ctrl,CL6,OptoD1Halo
4.23500000000013,ctrl,CL6,OptoD1Halo
6.63999999999987,ctrl,CL6,OptoD1Halo
3.53999999999996,ctrl,CL6,OptoD1Halo
10.5450000000001,ctrl,CL6,OptoD1Halo
7.625,ctrl,CL6,OptoD1Halo
18.4850000000001,ctrl,CL6,OptoD1Halo
12.0899999999999,ctrl,CL6,OptoD1Halo
8.66000000000008,ctrl,CL6,OptoD1Halo
13.0299999999997,ctrl,CL6,OptoD1Halo
9.98000000000002,ctrl,CL6,OptoD1Halo
5.92000000000007,ctrl,CL6,OptoD1Halo
10.5650000000001,ctrl,CL6,OptoD1Halo
7.51499999999987,ctrl,CL6,OptoD1Halo
6.84500000000025,ctrl,CL6,OptoD1Halo
4.82999999999998,ctrl,CL6,OptoD1Halo
5.69999999999999,ctrl,CL6,OptoD1Halo
15.48,ctrl,CL6,OptoD1Halo
8.06999999999994,ctrl,CL6,OptoD1Halo
13.135,ctrl,CL6,OptoD1Halo
8.96000000000004,ctrl,CL6,OptoD1Halo
6.7650000000001,ctrl,CL6,OptoD1Halo
14.3300000000002,ctrl,CL6,OptoD1Halo
6.30999999999995,ctrl,CL6,OptoD1Halo
9.82500000000027,ctrl,CL6,OptoD1Halo
7.03499999999985,ctrl,CL6,OptoD1Halo
5.41000000000031,ctrl,CL6,OptoD1Halo
5,ctrl,CL6,OptoD1Halo
11.6600000000003,ctrl,CL6,OptoD1Halo
10.415,ctrl,CL6,OptoD1Halo
12.315,ctrl,CL6,OptoD1Halo
4.44499999999999,ctrl,CL6,OptoD1Halo
6.29499999999996,ctrl,CL6,OptoD1Halo
5.80000000000007,ctrl,CL6,OptoD1Halo
3.8900000000001,ctrl,CL6,OptoD1Halo
4.26999999999998,ctrl,CL6,OptoD1Halo
3.16499999999996,ctrl,CL6,OptoD1Halo
7.36000000000013,ctrl,CL6,OptoD1Halo
12.6949999999999,inhibition,CR2,OptoD1Halo
6.59500000000003,inhibition,CR2,OptoD1Halo
10.9750000000001,inhibition,CR2,OptoD1Halo
3.88500000000022,inhibition,CR2,OptoD1Halo
9.715,inhibition,CR2,OptoD1Halo
7.625,inhibition,CR2,OptoD1Halo
6.30000000000007,inhibition,CR2,OptoD1Halo
5.66000000000031,inhibition,CR2,OptoD1Halo
4.39499999999998,inhibition,CR2,OptoD1Halo
15.0349999999999,inhibition,CR2,OptoD1Halo
5.78000000000003,inhibition,CR2,OptoD1Halo
10.1899999999999,inhibition,CR2,OptoD1Halo
4.69500000000005,inhibition,CR2,OptoD1Halo
9.15499999999975,inhibition,CR2,OptoD1Halo
11.0450000000001,inhibition,CR2,OptoD1Halo
9.71499999999997,inhibition,CR2,OptoD1Halo
6.38999999999942,inhibition,CR2,OptoD1Halo
6.265,ctrl,CR2,OptoD1Halo
13.06,ctrl,CR2,OptoD1Halo
11.3900000000001,ctrl,CR2,OptoD1Halo
7.83000000000004,ctrl,CR2,OptoD1Halo
9.17999999999984,ctrl,CR2,OptoD1Halo
13.645,ctrl,CR2,OptoD1Halo
9.94000000000005,ctrl,CR2,OptoD1Halo
5.875,ctrl,CR2,OptoD1Halo
7.77500000000009,ctrl,CR2,OptoD1Halo
7.75,ctrl,CR2,OptoD1Halo
8.22999999999956,ctrl,CR2,OptoD1Halo
7.00500000000011,ctrl,CR2,OptoD1Halo
5.63500000000022,ctrl,CR2,OptoD1Halo
12.3800000000001,ctrl,CR2,OptoD1Halo
8.11500000000001,ctrl,CR2,OptoD1Halo
13.4299999999999,ctrl,CR2,OptoD1Halo
4.94499999999994,ctrl,CR2,OptoD1Halo
12.5500000000002,ctrl,CR2,OptoD1Halo
11.54,ctrl,CR2,OptoD1Halo
14.5500000000002,ctrl,CR2,OptoD1Halo
6.48500000000058,ctrl,CR2,OptoD1Halo
8.11499999999999,ctrl,CR2,OptoD1Halo
7.30499999999995,ctrl,CR2,OptoD1Halo
7.04999999999995,ctrl,CR2,OptoD1Halo
5.21000000000004,ctrl,CR2,OptoD1Halo
10.235,ctrl,CR2,OptoD1Halo
7.5,ctrl,CR2,OptoD1Halo
9.72000000000025,ctrl,CR2,OptoD1Halo
7.61000000000013,ctrl,CR2,OptoD1Halo
7.59999999999945,ctrl,CR2,OptoD1Halo
5.27999999999997,ctrl,CR2,OptoD1Halo
5.29999999999995,ctrl,CR2,OptoD1Halo
5.83500000000004,ctrl,CR2,OptoD1Halo
